Total_Discharges,Average_Length_of_Stay,Patient_Satisfaction,Overall_Rating,Recommendation_Score,Bed_Occupancy_Rate,Staff_Responsiveness
0.3735538036244496,0.6986951364175564,0.1538461538461533,2,0.20000000000000018,0.6151455444489966,0.13333333333333375
0.041073683492030985,0.4282325029655991,0.3076923076923075,3,0.2666666666666666,0.3482990403438881,0.4666666666666668
0.0012456912733353805,0.4934756820877817,0.5384615384615383,3,0.40000000000000036,0.15796788369132198,0.666666666666667
0.26700453909422883,0.3807829181494663,0.7692307692307692,4,0.9333333333333336,0.7135014558444619,0.5999999999999996
0.34316234940787,0.3558718861209965,0.7692307692307692,4,0.9333333333333336,0.9553989687427391,0.666666666666667
0.012559298317463566,0.39739027283511275,0.3076923076923075,2,0.20000000000000018,0.17094777639358516,0.13333333333333375
0.2149926623664721,0.6334519572953737,0.0,2,0.0,0.9999999999999998,0.06666666666666643
0.23212518344083818,0.30486358244365364,0.8461538461538458,4,1.0,0.6374044858403276,0.7999999999999998
0.17100098972731304,0.4341637010676157,0.5384615384615383,3,0.6000000000000005,0.7851148171900562,0.33333333333333304
0.08185727449575099,0.2965599051008304,0.6923076923076916,4,0.7999999999999998,0.3705008706618566,0.7999999999999998
0.029452919695573527,0.38434163701067614,0.38461538461538414,3,0.40000000000000036,0.8474191170400458,0.40000000000000036
0.10192484898126343,0.37959667852906287,0.5384615384615383,3,0.6000000000000005,0.7849455266862493,0.666666666666667
0.0,0.6251482799525505,0.5384615384615383,3,0.5333333333333332,0.23454513096798196,0.7999999999999998
0.5183440838196648,0.5160142348754448,0.615384615384615,3,0.7333333333333334,0.8444427857942562,0.5333333333333332
0.33532985222347356,0.435349940688019,0.5384615384615383,3,0.666666666666667,0.8217484343261625,0.4666666666666668
0.13337428756697722,0.4092526690391459,0.615384615384615,3,0.666666666666667,0.6120121181452454,0.5999999999999996
0.13337428756697722,0.4092526690391459,0.615384615384615,3,0.666666666666667,0.6120121181452454,0.5999999999999996
0.14675267055731886,0.39857651245551606,0.4615384615384617,3,0.4666666666666668,0.6209695586510786,0.20000000000000018
0.07876864270843997,0.395017793594306,0.615384615384615,3,0.666666666666667,0.41070456159884877,0.5999999999999996
0.08579911948397664,0.42467378410438905,0.38461538461538414,3,0.4666666666666668,0.464872753158925,0.40000000000000036
0.9999999999999999,0.5005931198102017,0.5384615384615383,3,0.666666666666667,0.9474069059381562,0.40000000000000036
0.9999999999999999,0.5005931198102017,0.615384615384615,3,0.7333333333333334,0.9474069059381562,0.33333333333333304
0.05812088324630557,0.4282325029655991,0.23076923076923084,2,0.13333333333333375,0.28020060143925596,0.2666666666666666
0.08663526842087299,0.4258600237247925,0.3076923076923075,4,0.40000000000000036,0.345224390606131,0.5333333333333332
0.051807105559537214,0.9999999999999999,0.4615384615384617,3,0.40000000000000036,0.5319025954370322,0.5333333333333332
0.1792259649841302,0.37247924080664296,0.615384615384615,4,0.666666666666667,0.5770523728674832,0.5333333333333332
0.09991126582710487,0.4543297746144721,0.1538461538461533,2,0.06666666666666732,0.7686675616383971,0.13333333333333375
0.2841711886966315,0.6393831553973903,0.4615384615384617,3,0.5333333333333332,0.9793284536744224,0.33333333333333304
0.3117470393501928,0.4851720047449586,0.4615384615384617,3,0.7333333333333334,0.7324441794423344,0.20000000000000018
0.12629261799938568,0.37247924080664296,0.38461538461538414,3,0.40000000000000036,0.7334926988989361,0.20000000000000018
0.2414081430667895,0.4543297746144721,0.5384615384615383,3,0.5333333333333332,0.7072474074207427,0.33333333333333304
0.008822224497457424,0.0,1.0,4,1.0,0.0,1.0
0.047250947066653004,0.4994068801897984,0.5384615384615383,3,0.4666666666666668,0.3101243923576549,0.40000000000000036
0.039043036073854134,0.3190984578884935,0.3076923076923075,3,0.40000000000000036,0.5829729978154963,0.20000000000000018
0.2719873041875704,0.44365361803084225,0.38461538461538414,2,0.5333333333333332,0.8552083532541055,0.0
0.2719873041875704,0.44365361803084225,0.615384615384615,4,0.7333333333333334,0.8552083532541055,0.40000000000000036
0.7641889355312105,0.5444839857651246,0.3076923076923075,3,0.3333333333333339,0.9488248824566534,0.06666666666666643
0.004658544076993959,0.23487544483985767,0.7692307692307692,4,0.8666666666666671,0.7374019466918558,0.4666666666666668
0.15687177912016653,0.31198102016607354,0.38461538461538414,3,0.20000000000000018,0.8341341875778607,0.2666666666666666
0.19903757550936826,0.7829181494661922,0.3076923076923075,3,0.40000000000000036,0.9693649294289974,0.2666666666666666
0.05259206170437869,0.2645314353499407,0.23076923076923084,2,0.2666666666666666,0.5619314520741578,0.13333333333333375
0.07540698269683628,0.47093712930011866,0.3076923076923075,3,0.2666666666666666,0.5079156602158619,0.33333333333333304
0.11985939046448926,0.5243179122182682,0.5384615384615383,3,0.7333333333333334,0.6746113737261568,0.2666666666666666
0.03153475990580526,0.6512455516014235,0.3076923076923075,3,0.2666666666666666,0.24628618104325523,0.40000000000000036
0.03394082113238456,0.33214709371293005,0.5384615384615383,3,0.4666666666666668,0.35026726047205886,0.33333333333333304
0.03394082113238456,0.33214709371293005,0.4615384615384617,3,0.20000000000000018,0.35026726047205886,0.2666666666666666
0.03394082113238456,0.33214709371293005,0.38461538461538414,3,0.40000000000000036,0.35026726047205886,0.5333333333333332
